MST1	low complexity entire gene					
MST1L	low complexity entire gene					
NBPF1	low complexity entire gene					
NBPF10	low complexity entire gene (OVERLAPS MANY GENES)					
NBPF11	low complexity entire gene (OVERLAPS MANY GENES)					
NBPF12	low complexity entire gene (OVERLAPS MANY GENES)					
NBPF14	low complexity entire gene					
NBPF15	low complexity entire gene					
NBPF20	low complexity entire gene (OVERLAPS MANY GENES)					
NBPF24	low complexity entire gene (OVERLAPS MANY GENES)					
NBPF25P	low complexity entire gene (OVERLAPS MANY GENES)					
NBPF8	low complexity entire gene					
NBPF9	low complexity entire gene					
CD160	low complexity entire gene					
GPR89A	low complexity entire gene					
GPR89C	low complexity entire gene					
PDZK1	low complexity entire gene					
NBPF24	low complexity entire gene					
NBPF25P	low complexity entire gene					
RNF115	low complexity in first exon (and 15 kb intron)					
C4B	low complexity entire gene, C4-genes overlap, Chr 6 p 21 duplication					
C4_B2	low complexity entire gene, C4-genes overlap, Chr 6 p 21 duplication					
CYP21A2	low complexity entire gene, Chr 6 p 21 duplication					
CYP21A1P	low complexity entire gene, Chr 6 p 21 duplication					
TNXB	low complexity entire gene, TNXA/B genes overlap, Chr 6 p 21 duplication					
TNXA	low complexity, TNXA/B genes overlap, Chr 6 p 21 duplication					
KLRC1	low complexity in some exons (paralogs)					
KLRC3	low complexity in some exons (paralogs)					
KLRC4	low complexity in some exons (paralogs)					
CTBP2	low complexity in some exons					
RHD	low complexity in some exons					
OPN1LW	repetitive, low-GC, low complexity, too many COSMIC mutations					
OPN1MW	repetitive, low-GC, low complexity, too many COSMIC mutations					
OPN1SW	repetitive, low-GC, low complexity, too many COSMIC mutations					
OPN3	repetitive, low-GC, too many COSMIC mutations					
OPN4	repetitive, low-GC, too many COSMIC mutations					
OPN5	repetitive, low-GC, too many COSMIC mutations					
PCDHACT	Clustered protocadherin family (chr5 q31)					
PCDHAC1	Clustered protocadherin family (chr5 q31)					
PCDHAC2	Clustered protocadherin family (chr5 q31)					
PCDHA1	Clustered protocadherin family (chr5 q31)					
PCDHA2	Clustered protocadherin family (chr5 q31)					
PCDHA3	Clustered protocadherin family (chr5 q31)					
PCDHA4	Clustered protocadherin family (chr5 q31)					
PCDHA5	Clustered protocadherin family (chr5 q31)					
PCDHA6	Clustered protocadherin family (chr5 q31)					
PCDHA7	Clustered protocadherin family (chr5 q31)					
PCDHA8	Clustered protocadherin family (chr5 q31)					
PCDHA9	Clustered protocadherin family (chr5 q31)					
PCDHA10	Clustered protocadherin family (chr5 q31)					
PCDHA11	Clustered protocadherin family (chr5 q31)					
PCDHA12	Clustered protocadherin family (chr5 q31)					
PCDHA13	Clustered protocadherin family (chr5 q31)					
PCDHA14	Clustered protocadherin family (chr5 q31)					
PCDHB1	Clustered protocadherin family (chr5 q31)					
PCDHB2	Clustered protocadherin family (chr5 q31)					
PCDHB3	Clustered protocadherin family (chr5 q31)					
PCDHB4	Clustered protocadherin family (chr5 q31)					
PCDHB5	Clustered protocadherin family (chr5 q31)					
PCDHB6	Clustered protocadherin family (chr5 q31)					
PCDHB7	Clustered protocadherin family (chr5 q31)					
PCDHB8	Clustered protocadherin family (chr5 q31)					
PCDHB9	Clustered protocadherin family (chr5 q31)					
PCDHB10	Clustered protocadherin family (chr5 q31)					
PCDHB11	Clustered protocadherin family (chr5 q31)					
PCDHB12	Clustered protocadherin family (chr5 q31)					
PCDHB13	Clustered protocadherin family (chr5 q31)					
PCDHB14	Clustered protocadherin family (chr5 q31)					
PCDHB15	Clustered protocadherin family (chr5 q31)					
PCDHB16	Clustered protocadherin family (chr5 q31)					
PCDHB17P	Clustered protocadherin family (chr5 q31)					
PCDHB18P	Clustered protocadherin family (chr5 q31)					
PCDHB19P	Clustered protocadherin family (chr5 q31)					
PCDHGA1	Clustered protocadherin family (chr5 q31)					
PCDHGA2	Clustered protocadherin family (chr5 q31)					
PCDHGA3	Clustered protocadherin family (chr5 q31)					
PCDHGA4	Clustered protocadherin family (chr5 q31)					
PCDHGA5	Clustered protocadherin family (chr5 q31)					
PCDHGA6	Clustered protocadherin family (chr5 q31)					
PCDHGA7	Clustered protocadherin family (chr5 q31)					
PCDHGA8	Clustered protocadherin family (chr5 q31)					
PCDHGA9	Clustered protocadherin family (chr5 q31)					
PCDHGA10	Clustered protocadherin family (chr5 q31)					
PCDHGA11	Clustered protocadherin family (chr5 q31)					
PCDHGA12	Clustered protocadherin family (chr5 q31)					
PCDHGB1	Clustered protocadherin family (chr5 q31)					
PCDHGB2	Clustered protocadherin family (chr5 q31)					
PCDHGB3	Clustered protocadherin family (chr5 q31)					
PCDHGB4	Clustered protocadherin family (chr5 q31)					
PCDHGB5	Clustered protocadherin family (chr5 q31)					
PCDHGB6	Clustered protocadherin family (chr5 q31)					
PCDHGB7	Clustered protocadherin family (chr5 q31)					
PCDHGB8P	Clustered protocadherin family (chr5 q31)					
PCDHGB9P	Clustered protocadherin family (chr5 q31)					
PCDHGCT	Clustered protocadherin family (chr5 q31)					
PCDHGC3	Clustered protocadherin family (chr5 q31)					
PCDHGC4	Clustered protocadherin family (chr5 q31)					
PCDHGC5	Clustered protocadherin family (chr5 q31)					
KRTAP1-1	KRTAP-family, repetitive single exon gene					
KRTAP1-3	KRTAP-family, repetitive single exon gene					
KRTAP1-4	KRTAP-family, repetitive single exon gene					
KRTAP1-5	KRTAP-family, repetitive single exon gene					
KRTAP10-1	KRTAP-family, repetitive single exon gene					
KRTAP10-2	KRTAP-family, repetitive single exon gene					
KRTAP10-3	KRTAP-family, repetitive single exon gene					
KRTAP10-4	KRTAP-family, repetitive single exon gene					
KRTAP10-5	KRTAP-family, repetitive single exon gene					
KRTAP10-6	KRTAP-family, repetitive single exon gene					
KRTAP10-7	KRTAP-family, repetitive single exon gene					
KRTAP10-8	KRTAP-family, repetitive single exon gene					
KRTAP10-9	KRTAP-family, repetitive single exon gene					
KRTAP10-10	KRTAP-family, repetitive single exon gene					
KRTAP10-11	KRTAP-family, repetitive single exon gene					
KRTAP10-12	KRTAP-family, repetitive single exon gene					
KRTAP11-1	KRTAP-family, repetitive single exon gene					
KRTAP12-1	KRTAP-family, repetitive single exon gene					
KRTAP12-2	KRTAP-family, repetitive single exon gene					
KRTAP12-3	KRTAP-family, repetitive single exon gene					
KRTAP12-4	KRTAP-family, repetitive single exon gene					
KRTAP13-1	KRTAP-family, repetitive single exon gene					
KRTAP13-2	KRTAP-family, repetitive single exon gene					
KRTAP13-3	KRTAP-family, repetitive single exon gene					
KRTAP13-4	KRTAP-family, repetitive single exon gene					
KRTAP15-1	KRTAP-family, repetitive single exon gene					
KRTAP16-1	KRTAP-family, repetitive single exon gene					
KRTAP17-1	KRTAP-family, repetitive single exon gene					
KRTAP19-1	KRTAP-family, repetitive single exon gene					
KRTAP19-2	KRTAP-family, repetitive single exon gene					
KRTAP19-3	KRTAP-family, repetitive single exon gene					
KRTAP19-4	KRTAP-family, repetitive single exon gene					
KRTAP19-5	KRTAP-family, repetitive single exon gene					
KRTAP19-6	KRTAP-family, repetitive single exon gene					
KRTAP19-7	KRTAP-family, repetitive single exon gene					
KRTAP19-8	KRTAP-family, repetitive single exon gene					
KRTAP20-1	KRTAP-family, repetitive single exon gene					
KRTAP20-2	KRTAP-family, repetitive single exon gene					
KRTAP20-3	KRTAP-family, repetitive single exon gene					
KRTAP20-4	KRTAP-family, repetitive single exon gene					
KRTAP21-1	KRTAP-family, repetitive single exon gene (low complexity region)					
KRTAP21-2	KRTAP-family, repetitive single exon gene					
KRTAP21-3	KRTAP-family, repetitive single exon gene					
KRTAP22-1	KRTAP-family, repetitive single exon gene					
KRTAP22-2	KRTAP-family, repetitive single exon gene					
KRTAP23-1	KRTAP-family, repetitive single exon gene					
KRTAP24-1	KRTAP-family, repetitive single exon gene					
KRTAP25-1	KRTAP-family, repetitive single exon gene					
KRTAP26-1	KRTAP-family, repetitive single exon gene					
KRTAP27-1	KRTAP-family, repetitive single exon gene					
EMCN	MUC family member, huge gene, too many COSMIC mutations					
OVGP1	MUC family member, huge gene, too many COSMIC mutations					
MUC1	MUC family member, huge gene, too many COSMIC mutations					
MUC3A	MUC family member, huge gene, gene fragment (50 kb missing)					
MUC5AC	MUC family member, huge gene, too many COSMIC mutations					
MUC7	MUC family member, huge gene, too many COSMIC mutations					
MUC12	MUC family member, huge gene, too many COSMIC mutations					
MUC13	MUC family member, huge gene, too many COSMIC mutations					
MUC15	MUC family member, huge gene, too many COSMIC mutations					
MUC19	MUC family member, huge gene, too many COSMIC mutations					
MUC20	MUC family member, huge gene, too many COSMIC mutations					
MUC21	MUC family member, huge gene, too many COSMIC mutations					
MUC22	MUC family member, huge gene, too many COSMIC mutations					
MAGEA1	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA10	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA11	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA12	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA13P	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA2	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA2B	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA3	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA4	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA5	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA6	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA7P	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA8	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA9	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEA9B	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB1	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB10	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB16	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB16	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB17	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB18	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB2	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB3	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB4	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB5	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
MAGEB6	MAGE family member, repetitive single exon gene, too many COSMIC mutations					
